R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
2650.0416560352132,116269709509.01816,27619908156.264473,88649801352.7537
2762.865657044579,122734855280.95079,29949574838.57988,92785280442.37091
2880.4930750775175,129540671123.05646,32472550890.826416,97068120232.23004
3003.128412854147,136704299717.1238,35204469041.38025,101499830675.74355
3130.9848796804217,144243922403.44327,38162174713.27349,106081747690.16977
3264.284762126004,152178843379.6703,41363813658.034164,110815029721.63612
3403.2598104835342,160529580256.601,44828925123.9356,115700655132.66542
3548.1516416812415,169317961227.6716,48578540808.786736,120739420418.88487
3699.2121593492357,178567229099.937,52635289845.92432,125931939254.01268
3856.703991769975,188302152423.02457,57023510068.17139,131278642354.85318
4020.9009484741614,198549143939.12936,61769365788.18459,136779778150.94478
4192.08849627593,209336386561.63153,66900972324.801796,142435414236.82977
4370.564255575052,220693967071.30676,72448527492.59483,148245439578.71194
4556.638517788827,232654017697.9964,78444450256.39842,154209567441.59796
4750.634784813351,245250865730.8761,84923526732.90556,160327338997.97055
4952.890331452131,258521191272.4438,91923063697.81328,166598127574.63052
5163.756791789616,272504193218.93896,99483049728.33943,173021143490.59952
5383.600770529416,287241763513.4912,107646324077.53896,179595439435.95224
5612.804480359777,302778669676.8444,116458753337.76021,186319916339.0842
5851.766406454523,319162745573.6555,125969415905.37717,193193329668.27835
6100.901999264865,336445090320.1559,136230794207.7047,200214296112.45114
6360.644396806239,354680275180.4111,147298974594.81293,207381300585.59814
6631.445177696283,373926558233.2115,159233854733.46582,214692703499.74567
6913.775146252844,394246106519.91943,172099358267.9105,222146748252.00897
7208.125151017069,415705225304.1242,185963656431.4199,229741568872.7043
7515.006938124788,438374593987.2754,200899396204.03146,237475197783.2439
7834.954041009557,462329508130.0514,216983934515.33514,245345573614.71625
8168.522707984297,487650126926.6014,234299577886.00992,253350549040.59146
8516.292869314337,514421725368.789,252933826788.9984,261487898579.7906
8878.86914546281,542734950219.41174,272979623890.03143,269755326329.38034
9256.881898261747,572686078787.9015,294535605198.53204,278150473589.36945
9650.988326836028,604377279369.5052,317706353024.12976,286670926345.3755
10061.873610185647,637916872069.9503,342602649491.6265,295314222578.3238
10490.252098412935,673419588593.0366,369341729219.3005,304077859373.73615
10936.868554665414,711006829419.446,398047529612.9107,312959299806.5353
11402.499449953679,750806916652.6714,428850937072.05585,321955979580.61554
